year,make,model,class,eng_size,cylinders,transmission,fuel_type,fuel_consumption_city,fuel_consumption_hwy,fuel_consumption_hwy_city,mpg,co2_emm,co2_rating,smog_rating
2017,acura,ilx,compact,2.4,4,AM8,Z,9.4,6.8,8.2,34,192,7,6
2017,acura,mdx_sh_awd,suv_small,3.5,6,AS9,Z,12.6,9,11,26,259,4,6
2017,acura,mdx_sh_awd_elite,suv_small,3.5,6,AS9,Z,12.2,9,10.7,26,251,5,6
2017,acura,mdx_hybrid_awd,suv_small,3,6,AM7,Z,9.1,9,9,31,210,6,6
2017,acura,nsx,two_seater,3.5,6,AM9,Z,11.1,10.8,11,26,261,4,6
2017,acura,rdx_awd,suv_small,3.5,6,AS6,Z,12.4,8.7,10.7,26,250,5,6
2017,acura,rlx_hybrid,mid_size,3.5,6,AM7,Z,8.2,7.8,8.1,35,190,7,8
2017,acura,tlx,compact,2.4,4,AM8,Z,9.6,6.6,8.3,34,197,6,6
2017,acura,tlx_sh_awd,compact,3.5,6,AS9,Z,11.2,7.5,9.6,29,226,5,6
2017,alfa_romeo,4c,two_seater,1.8,4,AM6,Z,9.7,6.9,8.4,34,197,6,5
2017,alfa_romeo,4c_spider,two_seater,1.8,4,AM6,Z,9.7,6.9,8.4,34,197,6,5
2017,alfa_romeo,giulia,mid_size,2,4,A8,Z,10,7.2,8.7,32,205,6,6
2017,alfa_romeo,giulia_awd,mid_size,2,4,A8,Z,10.5,7.7,9.2,31,217,6,6
2017,alfa_romeo,giulia_quadrifoglio,mid_size,2.9,6,A8,Z,13.8,9.6,11.9,24,280,4,6
2017,aston_martin,db11_v12,minicompact,5.2,12,A8,Z,15.5,11.4,13.7,21,322,3,6
2017,aston_martin,rapide_s,subcompact,6,12,A8,Z,16.7,10.9,14.1,20,331,3,6
2017,aston_martin,vanquish,minicompact,6,12,A8,Z,17.5,11.4,14.7,19,345,2,6
2017,aston_martin,v12_vantage_s,two_seater,6,12,AM7,Z,19.4,12.8,16.4,17,388,1,6
2017,aston_martin,v12_vantage_s,two_seater,6,12,M7,Z,23.2,14.4,19.2,15,450,1,6
2017,audi,a3,subcompact,2,4,AM7,X,9.1,6.8,8,35,188,7,8
2017,audi,a3_quattro,subcompact,2,4,AM6,X,9.7,7.5,8.7,32,205,6,8
2017,audi,a3_cabriolet_quattro,subcompact,2,4,AM6,X,10.8,8,9.5,30,223,5,8
2017,audi,a4_ultra,compact,2,4,AM7,Z,8.6,6.4,7.6,37,177,7,6
2017,audi,a4_quattro,compact,2,4,AM7,Z,9.8,7.7,8.8,32,205,6,6
2017,audi,a4_quattro,compact,2,4,M6,Z,9.9,7,8.6,33,204,6,6
2017,audi,a4_allroad_quattro,station_wagon_small,2,4,AM7,Z,10.2,8.3,9.3,30,217,6,6
2017,audi,a5_quattro,subcompact,2,4,AS8,Z,11,8,9.7,29,226,5,6
2017,audi,a5_quattro,subcompact,2,4,M6,Z,10.4,7.3,9,31,210,6,6
2017,audi,a5_cabriolet_quattro,subcompact,2,4,AS8,Z,11.3,8.2,9.9,29,231,5,6
2017,audi,a6_quattro,mid_size,2,4,AS8,Z,10.9,7.5,9.4,30,220,5,7
2017,audi,a6_quattro,mid_size,3,6,AS8,Z,11.5,8.2,10,28,238,5,6
2017,audi,a7_quattro,mid_size,3,6,AS8,Z,11.5,8.2,10,28,238,5,6
2017,audi,a8,mid_size,3,6,AS8,Z,12.6,8,10.5,27,246,5,6
2017,audi,a8,mid_size,4,8,AS8,Z,12.9,8,10.7,26,249,5,6
2017,audi,a8l,full_size,4,8,AS8,Z,13.1,8.3,10.9,26,255,5,6
2017,audi,q3,compact,2,4,AS6,Z,11.9,8.4,10.3,27,243,5,6
2017,audi,q3_quattro,compact,2,4,AS6,Z,11.9,8.4,10.3,27,241,5,6
2017,audi,q5,suv_small,2,4,AS8,Z,12,8.6,10.5,27,246,5,6
2017,audi,q5,suv_small,3,6,AS8,Z,13.2,9.2,11.4,25,267,4,6
2017,audi,q7,suv_standard,2,4,AS8,Z,11.9,9.6,10.8,26,253,5,6
2017,audi,q7,suv_standard,3,6,AS8,Z,12.6,9.4,11.1,25,260,4,5
2017,audi,r8,two_seater,5.2,10,AM7,Z,16.5,11.2,14.1,20,330,3,5
2017,audi,r8_spyder,two_seater,5.2,10,AM7,Z,16.5,11.2,14.1,20,330,3,5
2017,audi,rs_7,mid_size,4,8,AS8,Z,16.2,9.3,13.1,22,309,3,6
2017,audi,s3,subcompact,2,4,AM6,Z,11,8.5,9.9,29,232,5,6
2017,audi,s5,subcompact,3,6,AM7,Z,13,8.5,11,26,259,4,6
2017,audi,s5,subcompact,3,6,M6,Z,13.8,9,11.7,24,273,4,6
2017,audi,s5_cabriolet,subcompact,3,6,AM7,Z,13.3,9.1,11.4,25,266,4,6
2017,audi,s6,mid_size,4,8,AM7,Z,13.3,8.8,11.3,25,263,4,6
2017,audi,s7,mid_size,4,8,AM7,Z,13.4,8.8,11.4,25,265,4,6
2017,audi,s8,mid_size,4,8,AS8,Z,16.2,9.9,13.4,21,312,3,6
2017,audi,sq5,suv_small,3,6,AS8,Z,14.1,9.9,12.2,23,285,4,6
2017,audi,tt_coupe_quattro,subcompact,2,4,AM6,X,10.1,7.8,9.1,31,209,6,8
2017,audi,tt_roadster_quattro,two_seater,2,4,AM6,X,10.1,7.8,9.1,31,209,6,8
2017,audi,tts_coupe_quattro,subcompact,2,4,AM6,Z,10.3,8.6,9.5,30,222,5,6
2017,bentley,bentayga,suv_standard,6,12,AS8,Z,18.8,12.2,15.9,18,370,2,6
2017,bentley,continental_gt,compact,4,8,AS8,Z,16.1,9.4,13.1,22,307,3,6
2017,bentley,continental_gt,compact,6,12,AS8,Z,18.9,11.2,15.4,18,360,2,5
2017,bentley,continental_gt_convertible,subcompact,4,8,AS8,Z,17.7,10.3,14.4,20,337,2,6
2017,bentley,continental_gt_convertible,subcompact,6,12,AS8,Z,19.6,11.7,16,18,375,2,5
2017,bentley,flying_spur,mid_size,4,8,AS8,Z,17,9.9,13.8,20,321,3,6
2017,bentley,flying_spur,mid_size,6,12,AS8,Z,19.6,11.7,16,18,375,2,5
2017,bentley,mulsanne,mid_size,6.8,8,AS8,Z,21.3,12.8,17.5,16,407,1,5
2017,bentley,mulsanne_ewb,mid_size,6.8,8,AS8,Z,22.2,13.6,18.3,15,430,1,5
2017,bmw,230i_cabriolet,subcompact,2,4,AS8,Z,10,7.2,8.7,32,207,6,8
2017,bmw,230i_coupe,subcompact,2,4,AS8,Z,9.8,6.8,8.4,34,197,6,8
2017,bmw,230i_coupe,subcompact,2,4,M6,Z,11.1,7.3,9.4,30,219,5,8
2017,bmw,230i_xdrive_cabriolet,subcompact,2,4,AS8,Z,10.5,7.4,9.1,31,213,6,8
2017,bmw,230i_xdrive_coupe,subcompact,2,4,AS8,Z,10.2,7.4,9,31,210,6,8
2017,bmw,320i,compact,2,4,AS8,Z,10,6.5,8.4,34,200,6,6
2017,bmw,320i,compact,2,4,M6,Z,10.2,6.7,8.6,33,202,6,6
2017,bmw,320i_xdrive,compact,2,4,AS8,Z,10.3,6.9,8.8,32,206,6,6
2017,bmw,328d_xdrive,compact,2,4,AS8,D,7.9,5.9,7,40,189,7,6
2017,bmw,328d_xdrive_touring,station_wagon_small,2,4,AS8,D,7.9,5.9,7,40,189,7,6
2017,bmw,330i_xdrive,compact,2,4,AS8,Z,10.5,7.4,9.1,31,213,6,8
2017,bmw,330i_xdrive_gran_turismo,full_size,2,4,AS8,Z,10.5,7.4,9.1,31,213,6,8
2017,bmw,330i_xdrive_touring,station_wagon_small,2,4,AS8,Z,10.5,7.4,9.1,31,213,6,8
2017,bmw,340i,compact,3,6,AS8,Z,11.1,7.8,9.6,29,224,5,6
2017,bmw,340i,compact,3,6,M6,Z,12.2,8.2,10.4,27,242,5,6
2017,bmw,340i_xdrive,compact,3,6,AS8,Z,11.4,7.8,9.8,29,228,5,6
2017,bmw,340i_xdrive,compact,3,6,M6,Z,12.2,8.5,10.5,27,246,5,6
2017,bmw,340i_xdrive_gran_turismo,full_size,3,6,AS8,Z,11.9,8.1,10.2,28,238,5,6
2017,bmw,430i_xdrive_cabriolet,subcompact,2,4,AS8,Z,10.6,7.3,9.1,31,211,6,8
2017,bmw,430i_xdrive_coupe,compact,2,4,AS8,Z,10.5,7.4,9.1,31,213,6,8
2017,bmw,430i_xdrive_gran_coupe,compact,2,4,AS8,Z,10.5,7.4,9.1,31,213,6,8
2017,bmw,440i_coupe,compact,3,6,AS8,Z,11.1,7.8,9.6,29,224,5,6
2017,bmw,440i_coupe,compact,3,6,M6,Z,12.2,8.2,10.4,27,242,5,6
2017,bmw,440i_xdrive_cabriolet,subcompact,3,6,AS8,Z,11.9,8.1,10.2,28,238,5,6
2017,bmw,440i_xdrive_coupe,compact,3,6,AS8,Z,11.4,7.8,9.8,29,228,5,6
2017,bmw,440i_xdrive_coupe,compact,3,6,M6,Z,12.2,8.5,10.5,27,246,5,6
2017,bmw,440i_xdrive_gran_coupe,compact,3,6,AS8,Z,11.4,7.8,9.8,29,228,5,6
2017,bmw,530i_xdrive,mid_size,2,4,AS8,Z,10.5,7.4,9.1,31,213,6,8
2017,bmw,540i_xdrive,mid_size,3,6,AS8,Z,11.4,7.8,9.8,29,228,5,7
2017,bmw,640i_xdrive_cabriolet,subcompact,3,6,AS8,Z,12.4,8.4,10.6,27,249,5,6
2017,bmw,640i_xdrive_gran_coupe,compact,3,6,AS8,Z,12.4,8.4,10.6,27,249,5,6
2017,bmw,650i_xdrive_cabriolet,subcompact,4.4,8,AS8,Z,14.7,9.7,12.5,23,292,4,6
2017,bmw,650i_xdrive_coupe,compact,4.4,8,AS8,Z,13.8,9.1,11.7,24,273,4,6
2017,bmw,650i_xdrive_gran_coupe,compact,4.4,8,AS8,Z,14.7,9.7,12.5,23,292,4,6
2017,bmw,740li_xdrive,full_size,3,6,AS8,Z,11.9,8.1,10.2,28,238,5,6
2017,bmw,750i_xdrive,full_size,4.4,8,AS8,Z,13.8,9.1,11.7,24,273,4,6
2017,bmw,750li_xdrive,full_size,4.4,8,AS8,Z,14.7,9.7,12.5,23,292,4,6
2017,bmw,alpina_b6_xdrive_gran_coupe,compact,4.4,8,AS8,Z,14.7,9.7,12.5,23,292,4,6
2017,bmw,alpina_b7_xdrive,full_size,4.4,8,AS8,Z,14.7,9.7,12.5,23,292,4,6
2017,bmw,m2,subcompact,3,6,AM7,Z,11.8,8.9,10.5,27,245,5,6
2017,bmw,m2,subcompact,3,6,M6,Z,13.1,9.2,11.4,25,267,4,6
2017,bmw,m240i_cabriolet,subcompact,3,6,AS8,Z,11.1,7.8,9.6,29,224,5,6
2017,bmw,m240i_cabriolet,subcompact,3,6,M6,Z,12.2,8.2,10.4,27,242,5,6
2017,bmw,m240i_coupe,subcompact,3,6,AS8,Z,11.1,7.8,9.6,29,224,5,6
2017,bmw,m240i_coupe,subcompact,3,6,M6,Z,12.5,8.4,10.7,26,250,5,6
2017,bmw,m240i_xdrive_cabriolet,subcompact,3,6,AS8,Z,11.4,7.8,9.8,29,228,5,6
2017,bmw,m240i_xdrive_coupe,subcompact,3,6,AS8,Z,11.4,7.8,9.8,29,228,5,6
2017,bmw,m3,compact,3,6,AM7,Z,14,9.7,12.1,23,284,4,6
2017,bmw,m3,compact,3,6,M6,Z,13.7,9.1,11.7,24,273,4,6
